Num_Pages,Age,Ratings_Count_Log,Text_Reviews_Count_Log,Author_TargetEnc,Publisher_TargetEnc,Author_Frequency,Publisher_Frequency,Language_Code_French,Language_Code_German,Language_Code_Japanese,Language_Code_Others,Language_Code_Spanish
346,21,2.5649493574615367,0.0,3.9334343204094746,3.9334343204094746,1,1,False,False,False,False,False
362,26,5.298317366548036,2.995732273553991,3.936161593136747,3.936161593136747,1,1,False,False,False,False,False
560,22,9.517310233335248,6.8001700683022,3.953434320409474,3.8811015303836567,1,106,False,False,False,False,False
148,22,8.97322466309509,5.905361848054571,3.9518518349669476,3.9477777757834978,5,117,False,False,False,False,False
253,37,1.9459101490553132,1.0986122886681098,3.9107070476822017,3.882698394607444,1,4,False,False,False,False,False
373,20,8.934850340289763,5.351858133476067,3.972314793708685,3.8930972190563025,2,70,False,False,False,False,False
245,42,7.059617628291383,3.9318256327243257,3.9651851683002812,3.8975272306323943,5,92,False,False,False,False,False
288,20,9.871170951059584,6.776506992372183,3.814388876225211,3.9364814603753513,10,2,False,False,False,False,False
575,15,8.978660489639687,4.890349128221754,3.954343411318565,3.942275120214486,1,11,False,False,False,False,False
144,21,5.921578419643816,2.772588722239781,3.9679797749549293,3.9679797749549293,1,1,False,False,False,False,False
144,126,5.808142489980444,3.5263605246161616,3.93888886586402,3.93888886586402,1,1,False,False,False,False,False
304,28,6.738152494595957,4.060443010546419,3.953434320409474,3.910409343394959,1,9,False,False,False,False,False
304,31,2.6390573296152584,1.0986122886681098,3.925252502227656,3.925252502227656,1,1,False,False,False,False,False
32,20,4.553876891600541,2.9444389791664403,3.9552525022276566,4.022156213113903,1,91,False,False,False,False,False
744,21,4.605170185988092,2.5649493574615367,3.966161593136747,3.981283944988983,1,35,False,False,False,False,False
382,20,7.665284718471351,4.890349128221754,3.9797979567731105,3.8811015303836567,1,106,False,False,False,False,False
715,20,6.359573868672378,4.394449154672439,3.9652525022276564,3.95454289572471,1,148,False,False,False,False,False
274,32,3.1780538303479458,2.0794415416798357,3.931616138591292,3.947185168300281,1,5,False,False,False,False,False
9,19,3.4965075614664802,2.833213344056216,3.9461615931367473,3.9848610952815138,1,6,False,False,False,False,False
304,21,7.8724551500639794,4.882801922586371,3.9852525022276564,3.9852525022276564,1,1,False,False,False,False,False
153,40,1.3862943611198906,0.0,3.7538888762252114,3.876412031760504,10,38,False,False,False,False,False
108,24,5.8805329864007,3.9318256327243257,3.9307070476822017,3.9190598095772478,1,3,False,False,False,False,False
32,20,6.706862336602747,3.5553480614894135,3.9416161385912925,3.929814793708685,1,2,False,False,False,False,False
64,42,4.2626798770413155,0.6931471805599453,3.97888886586402,3.7118087796396333,1,33,False,False,False,False,False
118,41,5.262690188904886,3.4965075614664802,3.9461615931367473,3.9887606740193933,1,16,False,False,False,False,False
200,21,6.0112671744041615,3.4657359027997265,3.8781045602649544,3.933888876225211,7,10,False,False,False,False,False
13,24,5.749392985908253,2.1972245773362196,4.0007070476822015,4.0007070476822015,1,1,False,True,False,False,False
432,29,8.731174900938061,5.147494476813453,4.012518501633614,3.8543128621645293,5,66,False,False,False,False,False
423,22,8.022568946988255,3.5553480614894135,4.0002508878872325,3.924126966036016,21,4,False,False,False,False,False
362,48,7.3395376954076745,4.51085950651685,3.8984126803217296,3.9274224212815505,4,212,False,False,False,False,False
188,19,9.430439293104167,5.786897381366708,4.010598271115709,4.196296293385106,3,77,False,False,False,False,False
617,36,6.333279628139691,3.7612001156935624,3.9848610952815138,3.8978987873713287,6,91,False,False,False,False,False
142,28,3.2188758248682006,0.6931471805599453,3.919797956773111,3.869851834966948,1,5,False,True,False,False,False
376,24,12.505599293224833,8.591372589590488,3.901481460375351,3.832089941059624,2,32,False,False,False,False,False
320,21,7.07326971745971,4.955827057601261,3.96888886586402,3.8895925841501406,1,20,False,False,False,False,False
240,21,5.298317366548036,3.091042453358316,3.957294674978445,3.95454289572471,13,148,False,False,False,False,False
698,36,5.62040086571715,2.8903717578961645,3.9848765291391235,3.954343411318565,8,1,False,False,False,False,False
149,28,8.979542601725113,6.19644412779452,3.7922222073237775,3.912273500376988,7,55,False,False,False,False,False
170,20,3.367295829986474,0.6931471805599453,3.9697979567731108,3.9964814603753513,1,2,False,False,False,False,False
256,22,5.583496308781699,3.6109179126442243,3.931481460375352,3.8720987513613454,2,8,False,False,False,False,False
400,23,11.89587226164779,7.3938782901077555,3.9889814603753515,4.0443360371830295,2,31,False,False,False,False,False
1050,32,5.6937321388027,2.6390573296152584,3.9843434113185654,4.1915250495000835,1,41,False,False,False,False,False
240,19,9.085117227222105,4.02535169073515,3.958148127042018,3.9673610952815137,2,6,False,False,False,False,False
174,25,8.152774052744075,3.4339872044851463,3.96888886586402,3.910409343394959,1,9,False,False,False,False,False
272,31,6.790097235513905,4.532599493153256,3.866481460375352,4.015944438112605,2,30,False,False,False,False,False
304,23,5.402677381872279,1.6094379124341003,3.9407070476822015,3.8930972190563025,1,70,False,False,False,False,False
299,19,5.247024072160486,3.7612001156935624,3.8017360952815134,3.8543128621645293,6,66,False,False,False,False,False
227,21,8.107418811719974,5.3230099791384085,3.8967360952815135,3.8980658342408967,6,17,False,False,False,False,False
528,20,7.358193752733032,3.871201010907891,3.947070684045838,3.999592584150141,1,20,False,False,False,False,False
72,24,2.833213344056216,0.0,3.9043434113185653,3.8720987513613454,1,8,False,False,False,False,False
144,29,5.993961427306569,3.4011973816621555,3.9716161385912927,4.006111095281513,1,6,False,False,False,False,False
238,26,5.8998973535824915,3.091042453358316,3.957070684045838,3.9561988170791693,1,9,False,False,False,False,False
192,29,2.0794415416798357,0.6931471805599453,3.9897979567731103,3.9897979567731103,1,1,False,False,False,False,False
1180,20,5.298317366548036,2.6390573296152584,4.025648127042018,4.1915250495000835,2,41,False,False,False,False,False
371,19,9.701554950093058,7.138073034044347,3.9129860952815134,3.962361095281514,6,6,False,False,False,False,False
3,21,4.127134385045092,0.6931471805599453,4.016481460375352,4.0007070476822015,2,1,False,False,False,False,False
109,20,8.9001399880938,6.144185634125646,3.9352525022276565,3.9391851683002814,1,5,False,False,False,False,False
346,28,8.729882284826589,5.652489180268651,3.9886927955590714,3.9477777757834978,7,117,False,False,False,False,False
128,20,5.529429087511423,2.6390573296152584,3.9088888658640197,3.94289759851969,1,41,False,False,False,False,False
336,24,2.70805020110221,0.6931471805599453,3.9434343204094744,3.9356481270420183,1,2,False,False,False,False,False
214,25,6.4692503167957724,2.4849066497880004,3.9165431958057897,4.0089898874774645,8,12,False,False,False,False,False
288,25,5.976350909297934,1.6094379124341003,3.9207070476822015,3.9389814603753517,1,2,False,False,False,False,False
257,28,5.823045895483019,3.295836866004329,3.939797956773111,3.9346405154265947,1,24,False,False,False,False,False
481,20,9.754291246174,6.4967749901858625,3.9648412517503013,3.906213982389045,4,17,False,False,False,False,False
333,20,10.03661886513931,7.155396301896734,3.9352525022276565,3.8502046716974796,1,28,False,False,False,False,False
372,26,7.848153086199526,3.4339872044851463,3.9267521172695554,3.8930972190563025,3,70,False,False,False,False,False
428,44,5.384495062789089,3.295836866004329,3.769888876225211,3.9407070476822015,10,1,False,False,False,False,False
112,20,3.044522437723423,0.0,4.025555537464586,4.067521348038786,4,3,False,False,False,False,False
259,20,9.499571244417814,7.160069207596127,3.945751619088484,4.022156213113903,7,91,False,False,False,False,False
238,26,1.791759469228055,1.0986122886681098,3.9797979567731105,3.944641572975874,1,52,False,False,False,False,False
200,22,3.7612001156935624,1.0986122886681098,3.9864814603753516,3.9061110952815135,2,6,False,False,False,False,False
503,28,7.44600149832412,3.713572066704308,3.947979774954929,3.898663442384119,1,59,False,False,False,False,False
103,23,6.541029999189903,4.394449154672439,3.956161593136747,3.9814814603753512,1,2,False,False,False,False,False
24,20,2.5649493574615367,0.6931471805599453,3.995252502227656,3.9246198697107477,1,9,False,False,False,False,False
356,19,8.330622620332868,5.181783550292085,3.9775163249708365,4.117511100980169,7,15,False,False,False,False,False
179,27,4.3694478524670215,0.6931471805599453,3.9991269660360156,3.9664814603753515,4,2,False,False,False,False,False
635,21,12.855910365389464,9.678028823264478,4.007851834966948,3.8465608345002007,5,11,False,False,False,False,False
232,24,5.308267697401205,3.091042453358316,3.958148127042018,4.049356711816011,2,9,False,False,False,False,False
214,36,8.478244441277663,6.311734809152915,3.981269823178873,3.94289759851969,4,41,False,False,False,False,False
251,35,5.438079308923196,2.995732273553991,3.9669841088931586,3.9792810308531896,4,7,True,False,False,False,False
183,35,3.713572066704308,2.5649493574615367,3.9216161385912924,3.9216161385912924,1,1,False,False,False,False,False
